STATE_ID, NODE_ID, TIME_TO_RESOURCE_SECONDS, RESOURCE_DURATION_SECONDS, RESOURCE_LENGTH_METERS
586,0,3511.949,160.526,2800.0
586,1,3511.949,236.421,2800.0
586,2,3511.949,318.064,4000.0
586,3,3511.949,391.996,4000.0
586,4,3511.949,467.998,4000.0
586,5,3511.949,552.12,4000.0
586,6,3511.949,638.547,3700.0
586,7,3511.949,743.058,4000.0
586,8,3511.949,900.44,5200.0
586,9,3511.949,1042.578,4000.0
586,10,3511.949,1289.469,6500.0
586,11,3511.949,1376.011,4000.0
586,12,3511.949,1448.692,4000.0
586,13,3511.949,1519.803,4000.0
586,14,3511.949,1598.288,4000.0
586,15,3511.949,1713.748,5200.0
586,16,3511.949,1814.948,4000.0
586,17,3511.949,1929.443,4000.0
586,18,3511.949,2060.257,4000.0
586,19,3511.949,2211.995,4000.0
586,20,3511.949,2393.865,4900.0
586,21,3511.949,2479.804,4000.0
586,22,3511.949,2553.125,4000.0
586,23,3511.949,2663.934,5800.0
586,24,3511.949,2750.857,4000.0
586,25,3511.949,2853.127,4200.0
586,26,3511.949,2963.371,4000.0
586,27,3511.949,3088.865,4000.0
586,28,3511.949,3233.718,4000.0
586,29,3511.949,3403.12,4000.0
586,30,3511.949,3492.038,2900.0
586,31,3511.949,1956.325,5800.0
586,32,3511.949,2250.085,5100.0
586,33,3511.949,2562.951,5400.0
586,34,3511.949,2813.386,4000.0
586,35,3511.949,3063.821,4000.0
586,36,3511.949,3314.256,4000.0
586,37,3511.949,3587.854,4000.0
586,38,3511.949,3944.426,5200.0
586,39,3511.949,4226.356,4000.0
586,40,3511.949,4529.514,4000.0
586,41,3511.949,4832.672,4000.0
586,42,3511.949,5150.0,4000.0
586,43,3511.949,5573.529,5000.0
586,44,3511.949,5912.353,4000.0
586,45,3511.949,6293.945,4000.0
586,46,3511.949,6841.145,5700.0
586,47,3511.949,7276.437,4000.0
586,48,3511.949,7630.899,3200.0
586,49,3511.949,8105.712,4000.0
586,50,3511.949,8629.349,4000.0
586,51,3511.949,9197.487,4000.0
586,52,3511.949,9837.487,4000.0
586,53,3511.949,10080.525,4100.0
587,0,4289.343,1087.167,4000.0
587,1,4244.754,1289.469,6500.0
587,2,4244.754,1376.011,4000.0
587,3,4244.754,1448.692,4000.0
587,4,4244.754,1519.803,4000.0
587,5,4244.754,1598.288,4000.0
587,6,4244.754,1713.748,5200.0
587,7,4244.754,1814.948,4000.0
587,8,4244.754,1929.443,4000.0
587,9,4244.754,2060.257,4000.0
587,10,4244.754,2211.995,4000.0
587,11,4244.754,2393.865,4900.0
587,12,4244.754,2479.804,4000.0
