STATE_ID, NODE_ID, TIME_TO_RESOURCE_SECONDS, RESOURCE_DURATION_SECONDS, RESOURCE_LENGTH_METERS
7214,0,4024.405,318.064,4000.0
7214,1,4024.405,391.996,4000.0
7214,2,4024.405,467.998,4000.0
7214,3,4024.405,552.12,4000.0
7214,4,4024.405,638.547,3700.0
7214,5,4024.405,743.058,4000.0
7214,6,4024.405,900.44,5200.0
7214,7,4024.405,1042.578,4000.0
7214,8,4024.405,1289.469,6500.0
7214,9,4024.405,1376.011,4000.0
7214,10,4024.405,1448.692,4000.0
7214,11,4024.405,1519.803,4000.0
7214,12,4024.405,1598.288,4000.0
7214,13,4024.405,1713.748,5200.0
7214,14,4024.405,1814.948,4000.0
7214,15,4024.405,1929.443,4000.0
7214,16,4024.405,2060.257,4000.0
7214,17,4024.405,2211.995,4000.0
7214,18,4024.405,2393.865,4900.0
7214,19,4024.405,2479.804,4000.0
7214,20,4024.405,2553.125,4000.0
7214,21,4024.405,2663.934,5800.0
7214,22,4024.405,2750.857,4000.0
7214,23,4024.405,2853.127,4200.0
7214,24,4024.405,2963.371,4000.0
7214,25,4024.405,3088.865,4000.0
7214,26,4024.405,3233.718,4000.0
7214,27,4024.405,3403.12,4000.0
7214,28,4024.405,3492.038,2900.0
7214,29,4024.405,1956.325,5800.0
7214,30,4024.405,2250.085,5100.0
7214,31,4024.405,2562.951,5400.0
7214,32,4024.405,2813.386,4000.0
7214,33,4024.405,3063.821,4000.0
7214,34,4024.405,3314.256,4000.0
7214,35,4024.405,3587.854,4000.0
7214,36,4024.405,3944.426,5200.0
7214,37,4024.405,4226.356,4000.0
7214,38,4024.405,4529.514,4000.0
7214,39,4024.405,4832.672,4000.0
7214,40,4024.405,5150.0,4000.0
7214,41,4024.405,5573.529,5000.0
7214,42,4024.405,5912.353,4000.0
7214,43,4024.405,6293.945,4000.0
7214,44,4024.405,6841.145,5700.0
7214,45,4024.405,7276.437,4000.0
7214,46,4024.405,7630.899,3200.0
7214,47,4024.405,8105.712,4000.0
7214,48,4024.405,8629.349,4000.0
7214,49,4024.405,9197.487,4000.0
7214,50,4024.405,9837.487,4000.0
7214,51,4024.405,10080.525,4100.0
7214,52,4024.405,321.466,3600.0
7214,53,4024.405,417.466,2000.0
7214,54,4024.405,466.403,1000.0
7214,55,4024.405,665.024,4000.0
7214,56,4024.405,863.645,4000.0
7214,57,4024.405,1062.265,4000.0
7214,58,4024.405,1272.773,4000.0
7214,59,4024.405,1416.773,2700.0
7214,60,4024.405,1635.44,4100.0
7214,61,4024.405,1956.325,5800.0
7214,62,4024.405,2250.085,5100.0
7214,63,4024.405,2562.951,5400.0
7214,64,4024.405,2813.386,4000.0
7214,65,4024.405,3063.821,4000.0
7214,66,4024.405,3314.256,4000.0
7214,67,4024.405,3587.854,4000.0
7214,68,4024.405,3944.426,5200.0
7214,69,4024.405,4226.356,4000.0
7214,70,4024.405,4529.514,4000.0
7214,71,4024.405,4832.672,4000.0
7214,72,4024.405,5150.0,4000.0
7214,73,4024.405,5573.529,5000.0
7214,74,4024.405,5912.353,4000.0
7214,75,4024.405,6293.945,4000.0
7214,76,4024.405,6841.145,5700.0
7214,77,4024.405,7276.437,4000.0
7214,78,4024.405,7630.899,3200.0
7214,79,4024.405,8105.712,4000.0
7214,80,4024.405,8629.349,4000.0
7214,81,4024.405,9197.487,4000.0
7214,82,4024.405,9837.487,4000.0
7214,83,4024.405,10080.525,4100.0
7215,0,4537.798,1100.657,4000.0
7215,1,4479.719,1289.469,6500.0
7215,2,4479.719,1376.011,4000.0
7215,3,4479.719,1448.692,4000.0
7215,4,4479.719,1519.803,4000.0
7215,5,4479.719,1598.288,4000.0
7215,6,4479.719,1713.748,5200.0
7215,7,4479.719,1814.948,4000.0
7215,8,4479.719,1929.443,4000.0
7215,9,4479.719,2060.257,4000.0
7215,10,4479.719,2211.995,4000.0
7215,11,4479.719,2393.865,4900.0
7215,12,4479.719,2479.804,4000.0
7215,13,4479.719,2553.125,4000.0
7215,14,4479.719,2663.934,5800.0
7215,15,4479.719,2750.857,4000.0
7215,16,4479.719,2853.127,4200.0
7215,17,4479.719,2963.371,4000.0
7215,18,4479.719,3088.865,4000.0
7215,19,4479.719,3233.718,4000.0
7215,20,4479.719,3403.12,4000.0
7215,21,4479.719,3492.038,2900.0
7215,22,4537.798,2813.386,4000.0
7215,23,4537.798,3063.821,4000.0
7215,24,4537.798,3314.256,4000.0
7215,25,4537.798,3587.854,4000.0
7215,26,4537.798,3944.426,5200.0
7215,27,4537.798,4226.356,4000.0
7215,28,4537.798,4529.514,4000.0
7215,29,4537.798,4832.672,4000.0
7215,30,4537.798,5150.0,4000.0
7215,31,4537.798,5573.529,5000.0
7215,32,4537.798,5912.353,4000.0
7215,33,4537.798,6293.945,4000.0
7215,34,4537.798,6841.145,5700.0
7215,35,4537.798,7276.437,4000.0
