STATE_ID, NODE_ID, TIME_TO_RESOURCE_SECONDS, RESOURCE_DURATION_SECONDS, RESOURCE_LENGTH_METERS
3476,0,4721.53,900.44,5200.0
3476,1,4721.53,1042.578,4000.0
3476,2,4721.53,1289.469,6500.0
3476,3,4721.53,1376.011,4000.0
3476,4,4721.53,1448.692,4000.0
3476,5,4721.53,1519.803,4000.0
3476,6,4721.53,1598.288,4000.0
3476,7,4721.53,1713.748,5200.0
3476,8,4721.53,1814.948,4000.0
3476,9,4721.53,1929.443,4000.0
3476,10,4721.53,2060.257,4000.0
3476,11,4721.53,2211.995,4000.0
3476,12,4721.53,2393.865,4900.0
3476,13,4721.53,2479.804,4000.0
3476,14,4721.53,2553.125,4000.0
3476,15,4721.53,2663.934,5800.0
3476,16,4721.53,2750.857,4000.0
3476,17,4721.53,2853.127,4200.0
3476,18,4721.53,2963.371,4000.0
3476,19,4721.53,3088.865,4000.0
3476,20,4721.53,3233.718,4000.0
3476,21,4721.53,3403.12,4000.0
3476,22,4721.53,3492.038,2900.0
3476,23,4721.53,3944.426,5200.0
3476,24,4721.53,4226.356,4000.0
3476,25,4721.53,4529.514,4000.0
3476,26,4721.53,4832.672,4000.0
3476,27,4721.53,5150.0,4000.0
3476,28,4721.53,5573.529,5000.0
3476,29,4721.53,5912.353,4000.0
3476,30,4721.53,6293.945,4000.0
3476,31,4721.53,6841.145,5700.0
3476,32,4721.53,7276.437,4000.0
3476,33,4721.53,7630.899,3200.0
3476,34,4721.53,8105.712,4000.0
3476,35,4721.53,8629.349,4000.0
3476,36,4721.53,9197.487,4000.0
3476,37,4721.53,9837.487,4000.0
3476,38,4721.53,10080.525,4100.0
3476,39,4721.53,1416.773,2700.0
3476,40,4721.53,1635.44,4100.0
3476,41,4721.53,1956.325,5800.0
3476,42,4721.53,2250.085,5100.0
3476,43,4721.53,2562.951,5400.0
3476,44,4721.53,2813.386,4000.0
3476,45,4721.53,3063.821,4000.0
3476,46,4721.53,3314.256,4000.0
3476,47,4721.53,3587.854,4000.0
3476,48,4721.53,3944.426,5200.0
3476,49,4721.53,4226.356,4000.0
3476,50,4721.53,4529.514,4000.0
3476,51,4721.53,4832.672,4000.0
3476,52,4721.53,5150.0,4000.0
3476,53,4721.53,5573.529,5000.0
3476,54,4721.53,5912.353,4000.0
3476,55,4721.53,6293.945,4000.0
3476,56,4721.53,6841.145,5700.0
3476,57,4721.53,7276.437,4000.0
3476,58,4721.53,7630.899,3200.0
3476,59,4721.53,8105.712,4000.0
3476,60,4721.53,8629.349,4000.0
3476,61,4721.53,9197.487,4000.0
3476,62,4721.53,9837.487,4000.0
3476,63,4721.53,10080.525,4100.0
3477,0,6452.922,2479.804,4000.0
3477,1,6452.922,2553.125,4000.0
3477,2,6452.922,2663.934,5800.0
3477,3,6452.922,2750.857,4000.0
3477,4,6452.922,2853.127,4200.0
3477,5,6452.922,2963.371,4000.0
3477,6,6452.922,3088.865,4000.0
3477,7,6452.922,3233.718,4000.0
3477,8,6452.922,3403.12,4000.0
3477,9,6452.922,3492.038,2900.0
3477,10,6452.922,900.44,5200.0
3477,11,6452.922,1042.578,4000.0
3477,12,6452.922,1289.469,6500.0
3477,13,6452.922,1376.011,4000.0
3477,14,6452.922,1448.692,4000.0
3477,15,6452.922,1519.803,4000.0
3477,16,6452.922,1598.288,4000.0
3477,17,6452.922,1713.748,5200.0
3477,18,6452.922,1814.948,4000.0
3477,19,6452.922,1929.443,4000.0
3477,20,6452.922,2060.257,4000.0
3477,21,6452.922,2211.995,4000.0
3477,22,6452.922,2393.865,4900.0
3477,23,6452.922,2479.804,4000.0
3477,24,6452.922,2553.125,4000.0
3477,25,6452.922,2663.934,5800.0
3477,26,6452.922,2750.857,4000.0
3477,27,6452.922,2853.127,4200.0
3477,28,6452.922,2963.371,4000.0
3477,29,6452.922,3088.865,4000.0
3477,30,6452.922,3233.718,4000.0
3477,31,6452.922,3403.12,4000.0
3477,32,6452.922,3492.038,2900.0
3477,33,6452.922,7276.437,4000.0
3477,34,6452.922,7630.899,3200.0
3477,35,6452.922,8105.712,4000.0
3477,36,6452.922,8629.349,4000.0
3477,37,6452.922,9197.487,4000.0
3477,38,6452.922,9837.487,4000.0
3477,39,6452.922,10080.525,4100.0
3477,40,6452.922,3587.854,4000.0
3477,41,6452.922,3944.426,5200.0
3477,42,6452.922,4226.356,4000.0
3477,43,6452.922,4529.514,4000.0
3477,44,6452.922,4832.672,4000.0
3477,45,6452.922,5150.0,4000.0
3477,46,6452.922,5573.529,5000.0
3477,47,6452.922,5912.353,4000.0
3477,48,6452.922,6293.945,4000.0
3477,49,6452.922,6841.145,5700.0
3477,50,6452.922,7276.437,4000.0
3477,51,6452.922,7630.899,3200.0
3477,52,6452.922,8105.712,4000.0
3477,53,6452.922,8629.349,4000.0
3477,54,6452.922,9197.487,4000.0
3477,55,6452.922,9837.487,4000.0
3477,56,6452.922,10080.525,4100.0
3477,57,6452.922,665.024,4000.0
3477,58,6452.922,863.645,4000.0
3477,59,6452.922,1062.265,4000.0
3477,60,6452.922,1272.773,4000.0
3477,61,6452.922,1416.773,2700.0
3477,62,6452.922,1635.44,4100.0
3477,63,6452.922,1956.325,5800.0
3477,64,6452.922,2250.085,5100.0
3477,65,6452.922,2562.951,5400.0
3477,66,6452.922,2813.386,4000.0
3477,67,6452.922,3063.821,4000.0
3477,68,6452.922,3314.256,4000.0
3477,69,6452.922,3587.854,4000.0
3477,70,6452.922,3944.426,5200.0
3477,71,6452.922,4226.356,4000.0
3477,72,6452.922,4529.514,4000.0
3477,73,6452.922,4832.672,4000.0
3477,74,6452.922,5150.0,4000.0
3477,75,6452.922,5573.529,5000.0
3477,76,6452.922,5912.353,4000.0
3477,77,6452.922,6293.945,4000.0
3477,78,6452.922,6841.145,5700.0
3477,79,6452.922,7276.437,4000.0
3477,80,6452.922,7630.899,3200.0
3477,81,6452.922,8105.712,4000.0
3477,82,6452.922,8629.349,4000.0
3477,83,6452.922,9197.487,4000.0
