STATE_ID, NODE_ID, TIME_TO_RESOURCE_SECONDS, RESOURCE_DURATION_SECONDS, RESOURCE_LENGTH_METERS
4435,0,5068.18,3314.256,4000.0
4435,1,5068.18,3587.854,4000.0
4435,2,5068.18,3944.426,5200.0
4435,3,5068.18,4226.356,4000.0
4435,4,5068.18,4529.514,4000.0
4435,5,5068.18,4832.672,4000.0
4435,6,5068.18,5150.0,4000.0
4435,7,5068.18,5573.529,5000.0
4435,8,5068.18,5912.353,4000.0
4435,9,5068.18,6293.945,4000.0
4435,10,5068.18,6841.145,5700.0
4435,11,5068.18,7276.437,4000.0
4435,12,5068.18,7630.899,3200.0
4435,13,5068.18,8105.712,4000.0
4435,14,5068.18,8629.349,4000.0
4435,15,5068.18,9197.487,4000.0
4435,16,5068.18,9837.487,4000.0
4435,17,5068.18,10080.525,4100.0
4435,18,5068.18,1272.773,4000.0
4435,19,5068.18,1416.773,2700.0
4435,20,5068.18,1635.44,4100.0
4435,21,5068.18,1956.325,5800.0
4435,22,5068.18,2250.085,5100.0
4435,23,5068.18,2562.951,5400.0
4435,24,5068.18,2813.386,4000.0
4435,25,5068.18,3063.821,4000.0
4435,26,5068.18,3314.256,4000.0
4435,27,5068.18,3587.854,4000.0
4435,28,5068.18,3944.426,5200.0
4435,29,5068.18,4226.356,4000.0
4435,30,5068.18,4529.514,4000.0
4435,31,5068.18,4832.672,4000.0
4435,32,5068.18,5150.0,4000.0
4435,33,5068.18,5573.529,5000.0
4435,34,5068.18,5912.353,4000.0
4435,35,5068.18,6293.945,4000.0
4435,36,5068.18,6841.145,5700.0
4435,37,5068.18,7276.437,4000.0
4435,38,5068.18,7630.899,3200.0
4435,39,5068.18,8105.712,4000.0
4435,40,5068.18,8629.349,4000.0
4435,41,5068.18,9197.487,4000.0
4435,42,5068.18,9837.487,4000.0
4435,43,5068.18,10080.525,4100.0
4435,44,5068.18,900.44,5200.0
4435,45,5068.18,1042.578,4000.0
4435,46,5068.18,1289.469,6500.0
4435,47,5068.18,1376.011,4000.0
4435,48,5068.18,1448.692,4000.0
4435,49,5068.18,1519.803,4000.0
4435,50,5068.18,1598.288,4000.0
4435,51,5068.18,1713.748,5200.0
4435,52,5068.18,1814.948,4000.0
4435,53,5068.18,1929.443,4000.0
