STATE_ID, NODE_ID, TIME_TO_RESOURCE_SECONDS, RESOURCE_DURATION_SECONDS, RESOURCE_LENGTH_METERS
7997,0,4179.439,1956.325,5800.0
7997,1,4179.439,2250.085,5100.0
7997,2,4179.439,2562.951,5400.0
7997,3,4179.439,2813.386,4000.0
7997,4,4179.439,3063.821,4000.0
7997,5,4179.439,3314.256,4000.0
7997,6,4179.439,3587.854,4000.0
7997,7,4179.439,3944.426,5200.0
7997,8,4179.439,4226.356,4000.0
7997,9,4179.439,4529.514,4000.0
7997,10,4179.439,4832.672,4000.0
7997,11,4179.439,5150.0,4000.0
7997,12,4179.439,5573.529,5000.0
7997,13,4179.439,5912.353,4000.0
7997,14,4179.439,6293.945,4000.0
7997,15,4179.439,6841.145,5700.0
7997,16,4179.439,7276.437,4000.0
7997,17,4179.439,7630.899,3200.0
7997,18,4179.439,8105.712,4000.0
7997,19,4179.439,8629.349,4000.0
7997,20,4179.439,9197.487,4000.0
7997,21,4179.439,9837.487,4000.0
7997,22,4179.439,10080.525,4100.0
7997,23,4179.439,321.466,3600.0
7997,24,4179.439,417.466,2000.0
7997,25,4179.439,466.403,1000.0
7997,26,4179.439,665.024,4000.0
7997,27,4179.439,863.645,4000.0
7997,28,4179.439,1062.265,4000.0
7997,29,4179.439,1272.773,4000.0
7997,30,4179.439,1416.773,2700.0
7997,31,4179.439,1635.44,4100.0
7997,32,4179.439,1956.325,5800.0
7997,33,4179.439,2250.085,5100.0
7997,34,4179.439,2562.951,5400.0
7997,35,4179.439,2813.386,4000.0
7997,36,4179.439,3063.821,4000.0
7997,37,4179.439,3314.256,4000.0
7997,38,4179.439,3587.854,4000.0
7997,39,4179.439,3944.426,5200.0
7997,40,4179.439,4226.356,4000.0
7997,41,4179.439,4529.514,4000.0
7997,42,4179.439,4832.672,4000.0
7997,43,4179.439,5150.0,4000.0
7997,44,4179.439,5573.529,5000.0
7997,45,4179.439,5912.353,4000.0
7997,46,4179.439,6293.945,4000.0
7997,47,4179.439,6841.145,5700.0
7997,48,4179.439,7276.437,4000.0
7997,49,4179.439,7630.899,3200.0
7997,50,4179.439,8105.712,4000.0
7997,51,4179.439,8629.349,4000.0
7997,52,4179.439,9197.487,4000.0
7997,53,4179.439,9837.487,4000.0
7997,54,4179.439,10080.525,4100.0
7997,55,4179.439,900.44,5200.0
7997,56,4179.439,1042.578,4000.0
7997,57,4179.439,1289.469,6500.0
7997,58,4179.439,1376.011,4000.0
7997,59,4179.439,1448.692,4000.0
7997,60,4179.439,1519.803,4000.0
7997,61,4179.439,1598.288,4000.0
7997,62,4179.439,1713.748,5200.0
7997,63,4179.439,1814.948,4000.0
7997,64,4179.439,1929.443,4000.0
7997,65,4179.439,2060.257,4000.0
7997,66,4179.439,2211.995,4000.0
7997,67,4179.439,2393.865,4900.0
7997,68,4179.439,2479.804,4000.0
7997,69,4179.439,2553.125,4000.0
7997,70,4179.439,2663.934,5800.0
7997,71,4179.439,2750.857,4000.0
7997,72,4179.439,2853.127,4200.0
7997,73,4179.439,2963.371,4000.0
7997,74,4179.439,3088.865,4000.0
7997,75,4179.439,3233.718,4000.0
7997,76,4179.439,3403.12,4000.0
