STATE_ID, NODE_ID, TIME_TO_RESOURCE_SECONDS, RESOURCE_DURATION_SECONDS, RESOURCE_LENGTH_METERS
9141,0,4677.818,3314.256,4000.0
9141,1,4677.818,3587.854,4000.0
9141,2,4677.818,3944.426,5200.0
9141,3,4677.818,4226.356,4000.0
9141,4,4677.818,4529.514,4000.0
9141,5,4677.818,4832.672,4000.0
9141,6,4677.818,5150.0,4000.0
9141,7,4677.818,5573.529,5000.0
9141,8,4677.818,5912.353,4000.0
9141,9,4677.818,6293.945,4000.0
9141,10,4677.818,6841.145,5700.0
9141,11,4677.818,7276.437,4000.0
9141,12,4677.818,7630.899,3200.0
9141,13,4677.818,8105.712,4000.0
9141,14,4677.818,8629.349,4000.0
9141,15,4677.818,9197.487,4000.0
9141,16,4677.818,9837.487,4000.0
9141,17,4677.818,10080.525,4100.0
9141,18,4677.818,1272.773,4000.0
9141,19,4677.818,1416.773,2700.0
9141,20,4677.818,1635.44,4100.0
9141,21,4677.818,1956.325,5800.0
9141,22,4677.818,2250.085,5100.0
9141,23,4677.818,2562.951,5400.0
9141,24,4677.818,2813.386,4000.0
9141,25,4677.818,3063.821,4000.0
9141,26,4677.818,3314.256,4000.0
9141,27,4677.818,3587.854,4000.0
9141,28,4677.818,3944.426,5200.0
9141,29,4677.818,4226.356,4000.0
9141,30,4677.818,4529.514,4000.0
9141,31,4677.818,4832.672,4000.0
9141,32,4677.818,5150.0,4000.0
9141,33,4677.818,5573.529,5000.0
9141,34,4677.818,5912.353,4000.0
9141,35,4677.818,6293.945,4000.0
9141,36,4677.818,6841.145,5700.0
9141,37,4677.818,7276.437,4000.0
9141,38,4677.818,7630.899,3200.0
9141,39,4677.818,8105.712,4000.0
9141,40,4677.818,8629.349,4000.0
9141,41,4677.818,9197.487,4000.0
9141,42,4677.818,9837.487,4000.0
9141,43,4677.818,10080.525,4100.0
9141,44,4677.818,900.44,5200.0
9141,45,4677.818,1042.578,4000.0
9141,46,4677.818,1289.469,6500.0
9141,47,4677.818,1376.011,4000.0
9141,48,4677.818,1448.692,4000.0
9141,49,4677.818,1519.803,4000.0
9141,50,4677.818,1598.288,4000.0
9141,51,4677.818,1713.748,5200.0
9141,52,4677.818,1814.948,4000.0
9141,53,4677.818,1929.443,4000.0
9141,54,4677.818,2060.257,4000.0
9141,55,4677.818,2211.995,4000.0
9141,56,4677.818,2393.865,4900.0
9141,57,4677.818,2479.804,4000.0
9141,58,4677.818,2553.125,4000.0
9141,59,4677.818,2663.934,5800.0
9141,60,4677.818,2750.857,4000.0
9141,61,4677.818,2853.127,4200.0
9141,62,4677.818,2963.371,4000.0
9141,63,4677.818,3088.865,4000.0
9141,64,4677.818,3233.718,4000.0
9141,65,4677.818,3403.12,4000.0
9141,66,4677.818,3492.038,2900.0
9142,0,6873.913,7276.437,4000.0
9142,1,6873.913,7630.899,3200.0
9142,2,6873.913,8105.712,4000.0
9142,3,6873.913,8629.349,4000.0
9142,4,6873.913,9197.487,4000.0
9142,5,6873.913,9837.487,4000.0
9142,6,6873.913,10080.525,4100.0
9142,7,6873.913,4226.356,4000.0
9142,8,6873.913,4529.514,4000.0
9142,9,6873.913,4832.672,4000.0
9142,10,6873.913,5150.0,4000.0
9142,11,6873.913,5573.529,5000.0
9142,12,6873.913,5912.353,4000.0
9142,13,6873.913,6293.945,4000.0
9142,14,6873.913,6841.145,5700.0
9142,15,6873.913,7276.437,4000.0
9142,16,6873.913,7630.899,3200.0
9142,17,6873.913,8105.712,4000.0
9142,18,6873.913,8629.349,4000.0
9142,19,6873.913,9197.487,4000.0
9142,20,6873.913,9837.487,4000.0
9142,21,6873.913,10080.525,4100.0
9142,22,6873.913,1272.773,4000.0
9142,23,6873.913,1416.773,2700.0
9142,24,6873.913,1635.44,4100.0
9142,25,6873.913,1956.325,5800.0
9142,26,6873.913,2250.085,5100.0
9142,27,6873.913,2562.951,5400.0
9142,28,6873.913,2813.386,4000.0
9142,29,6873.913,3063.821,4000.0
9142,30,6873.913,3314.256,4000.0
9142,31,6873.913,3587.854,4000.0
9142,32,6873.913,3944.426,5200.0
9142,33,6873.913,4226.356,4000.0
9142,34,6873.913,4529.514,4000.0
9142,35,6873.913,4832.672,4000.0
9142,36,6873.913,5150.0,4000.0
9142,37,6873.913,5573.529,5000.0
9142,38,6873.913,5912.353,4000.0
9142,39,6873.913,6293.945,4000.0
9142,40,6873.913,6841.145,5700.0
9142,41,6873.913,7276.437,4000.0
9142,42,6873.913,7630.899,3200.0
9142,43,6873.913,8105.712,4000.0
9142,44,6873.913,8629.349,4000.0
9142,45,6873.913,9197.487,4000.0
9142,46,6873.913,9837.487,4000.0
9142,47,6873.913,10080.525,4100.0
9142,48,6671.787,2750.857,4000.0
9142,49,6671.787,2853.127,4200.0
9142,50,6671.787,2963.371,4000.0
9142,51,6671.787,3088.865,4000.0
9142,52,6671.787,3233.718,4000.0
9142,53,6671.787,3403.12,4000.0
9142,54,6671.787,3492.038,2900.0
9142,55,6873.913,900.44,5200.0
9142,56,6873.913,1042.578,4000.0
9142,57,6873.913,1289.469,6500.0
9142,58,6873.913,1376.011,4000.0
9142,59,6873.913,1448.692,4000.0
9142,60,6873.913,1519.803,4000.0
9142,61,6873.913,1598.288,4000.0
9142,62,6873.913,1713.748,5200.0
9142,63,6873.913,1814.948,4000.0
9142,64,6873.913,1929.443,4000.0
9142,65,6873.913,2060.257,4000.0
9142,66,6873.913,2211.995,4000.0
9142,67,6873.913,2393.865,4900.0
9142,68,6873.913,2479.804,4000.0
9142,69,6873.913,2553.125,4000.0
9142,70,6873.913,2663.934,5800.0
9142,71,6873.913,2750.857,4000.0
9142,72,6873.913,2853.127,4200.0
9142,73,6873.913,2963.371,4000.0
9142,74,6873.913,3088.865,4000.0
9142,75,6873.913,3233.718,4000.0
9142,76,6873.913,3403.12,4000.0
9142,77,6873.913,3492.038,2900.0
9143,0,7514.51,9197.487,4000.0
9143,1,7514.51,9837.487,4000.0
9143,2,7514.51,10080.525,4100.0
9143,3,7514.51,5573.529,5000.0
9143,4,7514.51,5912.353,4000.0
9143,5,7514.51,6293.945,4000.0
9143,6,7514.51,6841.145,5700.0
9143,7,7514.51,7276.437,4000.0
9143,8,7514.51,7630.899,3200.0
9143,9,7514.51,8105.712,4000.0
9143,10,7514.51,8629.349,4000.0
9143,11,7514.51,9197.487,4000.0
9143,12,7514.51,9837.487,4000.0
9143,13,7514.51,10080.525,4100.0
9143,14,7514.51,1956.325,5800.0
9143,15,7514.51,2250.085,5100.0
9143,16,7514.51,2562.951,5400.0
9143,17,7514.51,2813.386,4000.0
9143,18,7514.51,3063.821,4000.0
9143,19,7514.51,3314.256,4000.0
9143,20,7514.51,3587.854,4000.0
9143,21,7514.51,3944.426,5200.0
9143,22,7514.51,4226.356,4000.0
9143,23,7514.51,4529.514,4000.0
9143,24,7514.51,4832.672,4000.0
9143,25,7514.51,5150.0,4000.0
9143,26,7514.51,5573.529,5000.0
9143,27,7514.51,5912.353,4000.0
9143,28,7514.51,6293.945,4000.0
9143,29,7514.51,6841.145,5700.0
9143,30,7514.51,7276.437,4000.0
9143,31,7514.51,7630.899,3200.0
9143,32,7514.51,8105.712,4000.0
9143,33,7514.51,8629.349,4000.0
9143,34,7514.51,9197.487,4000.0
9143,35,7514.51,9837.487,4000.0
9143,36,7514.51,10080.525,4100.0
9143,37,7312.384,3492.038,2900.0
9143,38,7514.51,1519.803,4000.0
