Zug@Station@Kürzel der Station@Strecke@Fahrweg@Gleis@Durchrutschweg@Ankunftszeit@Abfahrtszeit@Abfahrtszeit Fix@Planhaltezeit@Mindesthaltezeit@Einfahrt auf Hp1 bei Planhalt@Technische Mindestfahrzeit@Regelfahrzeitzuschlag absolut@Mindestfahrzeit@Bauzuschlag@Zuschlag 2@Zuschlag 3@Regelfahrzeit@Fahrzeitüberschuss@Planfahrzeit@Fahrzeitstütze@Verknüpfungen, ankommende Züge@Verknüpfungen, wartende Züge@Haltetyp@Durchfahrgleis bei Ausfall des Betriebshaltes@Fahrweg bei Ausfall des Betriebshaltes@Fahrzeitüberschuss prozentual@Regelfahrzeitzuschlag prozentual@Haltezeitreserve@Fahrzeitreserve@Gesamtreserve@in der Simulation abbaubare Reserven@Zugkonfiguration@Zugkonfigurationsname@Zuglänge@Eingestellte Triebfahrzeugtypen@Ankunftverspätung@Abfahrtverspätung@Wunschankunftszeit@Wunschabfahrtszeit@Wunschgleis@Wunschfahrweg@Geschwindigkeit / Planfahrzeit@Geschwindigkeit / techn.Mindestfahrzeit@Geschwindigkeit an der Station@Mechanische Energie@Anzahl einsteigender Fahrgäste ohne Umsteiger@Anzahl aussteigender Fahrgäste ohne Umsteiger@Anzahl einsteigender Umsteiger@Anzahl aussteigender Umsteiger@Summe der Anzahl einsteigender Fahrgäste@Summe der Anzahl aussteigender Fahrgäste@Differenz Fahrgastzahlen@Anzahl ankommender Fahrgäste@Anzahl abfahrender Fahrgäste@Gattung@Besteller@Traktionist@Qualitätsstufe@LÜ-Klasse@KV-Kodifizierung@Wagenübergang@Lokübergang@Anschlussbeziehungen@Bemerkung@Von Bahnhof@Von Bahnhof Kürzel@Nach Bahnhof@Nach Bahnhof Kürzel@Startbahnhof@Startbahnhof Kürzel@Zielbahnhof@Zielbahnhof Kürzel@Vö. Verkehrstag@Vö. Ankunft@Ankunft drucken@Vö. Abfahrt@Abfahrt drucken
ICE-A 74 Do@Hannover Hbf@HH@1710@HWU(1733)-7B/448D-HBUG(1710)@A-7@1-1000@16:17:42@16:20:42@@180@180@@166@8@174@0@0@0@174@11@185@Ja@@@Planhalt@@@6,4@5,0@@19@19@19@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@16:17:42@16:20:42@A-7@HWU(1733)-7B/448D-HBUG(1710)@78@110@0@51,9@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 74 Do@Hannover Burg@HBUG@1710@HH(1710)-HLGH@G-3@@@16:23:47@@@@@157@8@165@0@0@0@165@8@173@Ja@@@Kein Halt@@@5,0@5,0@@16@16@16@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@16:23:47@16:23:47@G-3@HH(1710)-HLGH@116@159@78@128,0@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 74 Do@Han-Vinnhorst@HVIN@1710@HH(1710)-44-HLGH@G-44@@@16:26:40@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@16:26:40@16:26:40@G-44@HH(1710)-44-HLGH@116@159@116@238,4@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja

ICE-A 75 Do@Han-Vinnhorst@HVIN@1710@HLGH(1710)-23-HH@G-23@@@11:33:03@Ja@@@@156@8@164@0@0@0@164@-5@159@Ja@@@Kein Halt@@@-3,0@5,0@@3@3@3@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@11:33:03@11:33:03@G-23@HLGH(1710)-23-HH@135@154@103@20,4@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 75 Do@Hannover Burg@HBUG@1710@HLGH-HH(1710)@G-4@@@11:35:42@@@@@163@8@171@0@0@0@171@9@180@Ja@@@Kein Halt@@@5,5@5,0@@17@17@17@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@11:35:42@11:35:42@G-4@HLGH-HH(1710)@86@110@110@140,2@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 75 Do@Hannover Hbf@HH@1733@HBUG(1710)-447/4A-HWU(1733) 2@I-4@1-1000@11:38:42@11:41:42@@180@180@@184@9@193@0@0@0@193@23@216@Ja@@@Planhalt@@@12,5@5,0@@32@32@32@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@11:38:42@11:41:42@I-4@HBUG(1710)-447/4A-HWU(1733) 2@65@123@0@158,8@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 75 Do@Han Bismarckstr@HHBI@1733@HH(1733)-751B-HORX@G-751@@@11:45:18@@@@@89@4@93@0@0@0@93@14@107@Ja@@@Kein Halt@@@15,2@5,0@@18@18@18@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@11:45:18@11:45:18@G-751@HH(1733)-751B-HORX@176@176@65@212,2@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 75 Do@Hannover-Wülfel@HWU@1733@HH(1733)-414/714-HORX@G-414@@@11:47:05@@@@@20@1@21@0@0@0@21@2@23@Ja@@@Kein Halt@@@11,3@5,0@@3@3@3@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@11:47:05@11:47:05@G-414@HH(1733)-414/714-HORX@185@185@162@470,5@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 75 Do@Han Mess/Laatzen@HHML@1733@HWU(1733-1)-714-HORX@G-14@@@11:47:28@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@   55/ICE-A@ICE-A 401_17_22@359@401_17_22@@@11:47:28@11:47:28@G-14@HWU(1733-1)-714-HORX@185@185@172@520,5@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 75 Do@@H993R@1733@@?-0@@@@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@@@@@@@@@@@@@@0,0@0@0@0@0@0@0@0@0@0@@@@@@@@@@@@@@@@@@@@@Ja@@Ja

ICE-A 76 Do@@H993R@1733@@?-0@@@@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@@@@@@@@@@@@@@0,0@0@0@0@0@0@0@0@0@0@@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 76 Do@Han Mess/Laatzen@HHML@1733@HORX-715/415-HWU(1733-2)@G-15@@@14:12:05@Ja@@@@18@1@19@0@0@0@19@2@21@Ja@@@Kein Halt@@@12,6@5,0@@3@3@3@   51/ICE-A@ICE-A 401_17_22@359@401_17_22@@@14:12:05@14:12:05@G-15@HORX-715/415-HWU(1733-2)@150@200@200@14,5@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 76 Do@Hannover-Wülfel@HWU@1733@HORX-415-HH(1733-2)@G-415@@@14:12:26@@@@@77@4@81@0@0@0@81@14@95@Ja@@@Kein Halt@@@18,4@5,0@@18@18@18@   51/ICE-A@ICE-A 401_17_22@359@401_17_22@@@14:12:26@14:12:26@G-415@HORX-415-HH(1733-2)@143@200@150@14,7@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 76 Do@Han Bismarckstr@HHBI@1733@HORX-724-HH@G-724@@@14:14:01@@@@@190@9@199@0@0@0@199@22@221@Ja@@@Kein Halt@@@11,4@5,0@@31@31@31@   51/ICE-A@ICE-A 401_17_22@359@401_17_22@@@14:14:01@14:14:01@G-724@HORX-724-HH@63@160@143@44,5@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 76 Do@Hannover Hbf@HH@1710@HWU(1733)-7B/448D-HBUG(1710)@A-7@1-1000@14:17:42@14:20:42@@180@180@@166@8@174@0@0@0@174@11@185@Ja@@@Planhalt@@@6,4@5,0@@19@19@19@   51/ICE-A@ICE-A 401_17_22@359@401_17_22@@@14:17:42@14:20:42@A-7@HWU(1733)-7B/448D-HBUG(1710)@78@110@0@52,3@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 76 Do@Hannover Burg@HBUG@1710@HH(1710)-HLGH@G-3@@@14:23:47@@@@@157@8@165@0@0@0@165@8@173@Ja@@@Kein Halt@@@5,0@5,0@@16@16@16@   51/ICE-A@ICE-A 401_17_22@359@401_17_22@@@14:23:47@14:23:47@G-3@HH(1710)-HLGH@116@159@78@128,3@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja
ICE-A 76 Do@Han-Vinnhorst@HVIN@1710@HH(1710)-44-HLGH@G-44@@@14:26:40@@@@@@@@@@@@@@@@@Kein Halt@@@@@@@@@   51/ICE-A@ICE-A 401_17_22@359@401_17_22@@@14:26:40@14:26:40@G-44@HH(1710)-44-HLGH@116@159@116@238,8@0@0@0@0@0@0@0@0@0@ICE-A 14.1@@@@@@@@@@@@@@@@@@@@Ja@@Ja

